model_id,model_name,election_date,datasource_weight,model_time_interval,model_time_distance,model_time_id,GT_end_date,GT_start_date,GT_identifier,election,model_time_period_color,parties,data_election,data_election_previous,name_GT_datasets,GT_keywords,data_GT_year,predictions_Infratest,predictions_Forsa,predictions_Kantar,predictions_FGW,predictions_Allens,predictions_GT,predictions_GT_election_weight,Weight_Model_2,Poll_dates_weekly_weighting,GT_data_weekly_weighting,predicitons_GT_weekly_polls,predicitons_GT_weekly_polls_mean,predictions
1,M_49_2009_int_7_days_dist_1_days_GT,2009-09-27,GT,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
2,M_50_2009_int_7_days_dist_51_days_GT,2009-09-27,GT,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
3,M_51_2009_int_7_days_dist_101_days_GT,2009-09-27,GT,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
4,M_52_2009_int_91_days_dist_1_days_GT,2009-09-27,GT,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
5,M_53_2009_int_91_days_dist_51_days_GT,2009-09-27,GT,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
6,M_54_2009_int_91_days_dist_101_days_GT,2009-09-27,GT,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
7,M_55_2009_int_7_days_dist_1_days_GT_election_weight,2009-09-27,GT + election weight,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
8,M_56_2009_int_7_days_dist_51_days_GT_election_weight,2009-09-27,GT + election weight,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
9,M_57_2009_int_7_days_dist_101_days_GT_election_weight,2009-09-27,GT + election weight,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
10,M_58_2009_int_91_days_dist_1_days_GT_election_weight,2009-09-27,GT + election weight,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
11,M_59_2009_int_91_days_dist_51_days_GT_election_weight,2009-09-27,GT + election weight,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
12,M_60_2009_int_91_days_dist_101_days_GT_election_weight,2009-09-27,GT + election weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
13,M_61_2009_int_7_days_dist_1_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
14,M_62_2009_int_7_days_dist_51_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
15,M_63_2009_int_7_days_dist_101_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
16,M_64_2009_int_91_days_dist_1_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
17,M_65_2009_int_91_days_dist_51_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
18,M_66_2009_int_91_days_dist_101_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
19,M_67_2009_int_7_days_dist_1_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
20,M_68_2009_int_7_days_dist_51_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
21,M_69_2009_int_7_days_dist_101_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
22,M_70_2009_int_91_days_dist_1_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
23,M_71_2009_int_91_days_dist_51_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
24,M_72_2009_int_91_days_dist_101_days_Infratest,2009-09-27,Infratest,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
25,M_73_2009_int_7_days_dist_1_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
26,M_74_2009_int_7_days_dist_51_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
27,M_75_2009_int_7_days_dist_101_days_Forsa,2009-09-27,Forsa,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
28,M_76_2009_int_91_days_dist_1_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
29,M_77_2009_int_91_days_dist_51_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
30,M_78_2009_int_91_days_dist_101_days_Forsa,2009-09-27,Forsa,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
31,M_79_2009_int_7_days_dist_1_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
32,M_80_2009_int_7_days_dist_51_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
33,M_81_2009_int_7_days_dist_101_days_Kantar,2009-09-27,Kantar,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
34,M_82_2009_int_91_days_dist_1_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
35,M_83_2009_int_91_days_dist_51_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
36,M_84_2009_int_91_days_dist_101_days_Kantar,2009-09-27,Kantar,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
37,M_85_2009_int_7_days_dist_1_days_FGW,2009-09-27,FGW,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
38,M_86_2009_int_7_days_dist_51_days_FGW,2009-09-27,FGW,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
39,M_87_2009_int_7_days_dist_101_days_FGW,2009-09-27,FGW,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
40,M_88_2009_int_91_days_dist_1_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
41,M_89_2009_int_91_days_dist_51_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
42,M_90_2009_int_91_days_dist_101_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
43,M_91_2009_int_7_days_dist_1_days_Allens,2009-09-27,Allens,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
44,M_92_2009_int_7_days_dist_51_days_Allens,2009-09-27,Allens,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
45,M_93_2009_int_7_days_dist_101_days_Allens,2009-09-27,Allens,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
46,M_94_2009_int_91_days_dist_1_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
47,M_95_2009_int_91_days_dist_51_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
48,M_96_2009_int_91_days_dist_101_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
49,M_97_2013_int_7_days_dist_1_days_GT,2013-09-22,GT,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
50,M_98_2013_int_7_days_dist_51_days_GT,2013-09-22,GT,604800s (~1 weeks),51d 0H 0M 0S,days,2013-08-02,2013-07-26,2013-07-26-2013-08-02,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
51,M_99_2013_int_7_days_dist_101_days_GT,2013-09-22,GT,604800s (~1 weeks),101d 0H 0M 0S,days,2013-06-13,2013-06-06,2013-06-06-2013-06-13,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
52,M_100_2013_int_91_days_dist_1_days_GT,2013-09-22,GT,7862400s (~13 weeks),1d 0H 0M 0S,days,2013-09-21,2013-06-22,2013-06-22-2013-09-21,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
53,M_101_2013_int_91_days_dist_51_days_GT,2013-09-22,GT,7862400s (~13 weeks),51d 0H 0M 0S,days,2013-08-02,2013-05-03,2013-05-03-2013-08-02,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
54,M_102_2013_int_91_days_dist_101_days_GT,2013-09-22,GT,7862400s (~13 weeks),101d 0H 0M 0S,days,2013-06-13,2013-03-14,2013-03-14-2013-06-13,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
55,M_103_2013_int_7_days_dist_1_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
56,M_104_2013_int_7_days_dist_51_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),51d 0H 0M 0S,days,2013-08-02,2013-07-26,2013-07-26-2013-08-02,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
57,M_105_2013_int_7_days_dist_101_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),101d 0H 0M 0S,days,2013-06-13,2013-06-06,2013-06-06-2013-06-13,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
58,M_106_2013_int_91_days_dist_1_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),1d 0H 0M 0S,days,2013-09-21,2013-06-22,2013-06-22-2013-09-21,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
59,M_107_2013_int_91_days_dist_51_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),51d 0H 0M 0S,days,2013-08-02,2013-05-03,2013-05-03-2013-08-02,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
60,M_108_2013_int_91_days_dist_101_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2013-06-13,2013-03-14,2013-03-14-2013-06-13,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
61,M_109_2013_int_7_days_dist_1_days_GT_weekly_polls_weight,2013-09-22,GT + weekly polls weight,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
